total,date,store_name,items,tax,filename
,,ne Li wie,[],,13.jpg
,,See beck of receiet for wour chance,"[{'name': '1 FOR', 'price': 0.44}]",,17.jpg
,,WAL*MART,"[{'name': 'DISCOUNT GIVEN', 'price': 0.57}, {'name': 'SUBTOTAL', 'price': 5.11}]",,0.jpg
,,Oy Wi 7055200118,[],,9.jpg
,,,[],,3.jpg
,,,[],,10.jpg
,,WHOLE.,[],,11.jpg
,10/20/2007,,"[{'name': 'SuBTO"" AL', 'price': 7.59}]",,12.jpg
,7/22/2016,,"[{'name': 'CWE DE', 'price': 0.0}]",,15.jpg
,,,"[{'name': 'te TAX', 'price': 3.82}, {'name': 'CHANGE', 'price': 0.0}, {'name': 'A 8.50% TAX', 'price': 0.55}]",3.82,8.jpg
,26/01/2015,MOMI& TOY’S,[],,6.JPG
,10/38/20,Give us teecback cut vey aul eT com,"[{'name': 'est” TMD', 'price': 49.9}]",,2.jpg
,,,[],,18.jpg
23.19,11/13/2017,,"[{'name': 'TOTAL', 'price': 23.19}, {'name': 'OVBIT TEND', 'price': 23.19}, {'name': 'CHANGE DUE', 'price': 0.0}, {'name': 'SUBTOTAL', 'price': 21.74}, {'name': '| (AX 1 6.900 &', 'price': 1.15}, {'name': 'TAX 4 7.500 X', 'price': 0.3}]",,16.jpg
,,Walmart si<,[],,4.jpg
,,700) Gree wie Ave,[],,1.jpg
,9/15/2020,WHOLE FOODS,"[{'name': 'Subtotal :', 'price': 26.25}, {'name': 'Net Sales:', 'price': 26.26}]",,5.jpg
,10/16/2021,Give us fewumack @ our,[],,19.jpg
,5/4/2017,See back of receipt for your chance,[],,14.jpg
23.19,11/13/2017,,"[{'name': 'TOTAL', 'price': 23.19}, {'name': 'OVBIT TEND', 'price': 23.19}, {'name': 'CHANGE DUE', 'price': 0.0}, {'name': 'SUBTOTAL', 'price': 21.74}, {'name': '| (AX 1 6.900 &', 'price': 1.15}, {'name': 'TAX 4 7.500 X', 'price': 0.3}]",,7.jpg
